Date,Home Team,Away Team,Venue
16-Sep-2025,KSB Jaguars,Whalley Merlins,Kay St Rawtenstall
25-Sep-2025,Burnley Scorpions,KSB Jaguars,St Peters Centre
30-Sep-2025,KSB Jaguars,KSB Panthers (Jun),Kay St Rawtenstall
08-Oct-2025,KSB G,KSB Jaguars,Kay St Rawtenstall
21-Oct-2025,KSB Jaguars,KSB Pumas (Jun),Kay St Rawtenstall
29-Oct-2025,Whalley Kites,KSB Jaguars,Whalley Village Hall
04-Nov-2025,KSB Jaguars,Burnley Wasps,Kay St Rawtenstall
11-Nov-2025,KSB Jaguars (Cup),Burnley Hornets (Cup),Kay St Rawtenstall (Cup)
17-Nov-2025,Hyndburn TTC,KSB Jaguars,HTTC
25-Nov-2025,KSB Jaguars,KSB Leopards (Jun),Kay St Rawtenstall
03-Dec-2025,Whalley Merlins,KSB Jaguars,Whalley Village Hall
09-Dec-2025,KSB Jaguars,Burnley Scorpions,Kay St Rawtenstall
05-Jan-2026,KSB Panthers (Jun),KSB Jaguars,Kay St Rawtenstall
13-Jan-2026,KSB Jaguars (Cup),Whalley Harriers (Cup),Kay St Rawtenstall (Cup)
20-Jan-2026,KSB Jaguars,KSB G,Kay St Rawtenstall
26-Jan-2026,KSB Pumas (Jun),KSB Jaguars,Kay St Rawtenstall
10-Feb-2026,KSB Jaguars,Whalley Kites,Kay St Rawtenstall
16-Feb-2026,HTTC (Cup),KSB Jaguars (Cup),HTTC (Cup)
26-Feb-2026,Burnley Wasps,KSB Jaguars,St Peters Centre
03-Mar-2026,KSB Jaguars,Hyndburn TTC,Kay St Rawtenstall
09-Mar-2026,KSB Leopards (Jun),KSB Jaguars,Kay St Rawtenstall
