Date,Home Team,Away Team,Venue
15-Sep-2025,Vanguard Raptors,KSB A,Vanguard Com Centre
24-Sep-2025,KSB A,Spartans,Kay St Rawtenstall
01-Oct-2025,KSB B,KSB A,Kay St Rawtenstall
08-Oct-2025,KSB A,Sultans of Spin,Kay St Rawtenstall
20-Oct-2025,Vanguard Phantoms,KSB A,Vanguard Com Centre
29-Oct-2025,KSB A,Ramsbottom A,Kay St Rawtenstall
03-Nov-2025,Rovers,KSB A,HTTC
17-Nov-2025,Whalley Eagles,KSB A,HTTC
26-Nov-2025,KSB A,Whalley Kestrels,Kay St Rawtenstall
03-Dec-2025,KSB A,Vanguard Raptors,Kay St Rawtenstall
09-Dec-2025,Spartans,KSB A,HTTC
07-Jan-2026,KSB A,KSB B,Kay St Rawtenstall
20-Jan-2026,Sultans of Spin,KSB A,HTTC
28-Jan-2026,KSB A,Vanguard Phantoms,Kay St Rawtenstall
