Date,Home Team,Away Team,Venue
15-Sep-2025,Whalley Kites,KSB Pumas (Jun),Kay St Rawtenstall
22-Sep-2025,KSB Pumas (Jun),Burnley Wasps,Kay St Rawtenstall
29-Sep-2025,Hyndburn TTC,KSB Pumas (Jun),Kay St Rawtenstall
06-Oct-2025,KSB Pumas (Jun),KSB Leopards (Jun),Kay St Rawtenstall
20-Oct-2025,KSB Jaguars,KSB Pumas (Jun),Kay St Rawtenstall
27-Oct-2025,KSB Pumas (Jun),Burnley Scorpions,Kay St Rawtenstall
03-Nov-2025,KSB Panthers (Jun),KSB Pumas (Jun),Kay St Rawtenstall
17-Nov-2025,KSB Pumas (Jun),KSB G,Kay St Rawtenstall
24-Nov-2025,Whalley Merlins,KSB Pumas (Jun),Kay St Rawtenstall
01-Dec-2025,KSB Pumas (Jun),Whalley Kites,Kay St Rawtenstall
08-Dec-2025,Burnley Wasps,KSB Pumas (Jun),Kay St Rawtenstall
05-Jan-2026,KSB Pumas (Jun),Hyndburn TTC,Kay St Rawtenstall
19-Jan-2026,KSB Leopards (Jun),KSB Pumas (Jun),Kay St Rawtenstall
26-Jan-2026,KSB Pumas (Jun),KSB Jaguars,Kay St Rawtenstall
