Date,Home Team,Away Team,Venue
16-Sep-2025,Whalley Hawks,KSB E,HTTC
23-Sep-2025,KSB E,Burnley Hornets,Kay St Rawtenstall
02-Oct-2025,Ramsbottom B,KSB E,Ramsbottom CC
07-Oct-2025,KSB E,KSB C,Kay St Rawtenstall
21-Oct-2025,KSB D,KSB E,Kay St Rawtenstall
28-Oct-2025,KSB E,Vanguard Jets,Kay St Rawtenstall
04-Nov-2025,Misfits ,KSB E,HTTC
18-Nov-2025,KSB E,Past Masters,Kay St Rawtenstall
26-Nov-2025,Wheelton,KSB E,Wheelton Village Hall
02-Dec-2025,KSB E,Whalley Hawks,Kay St Rawtenstall
11-Dec-2025,Burnley Hornets,KSB E,St Peters Centre
06-Jan-2026,KSB E,Ramsbottom B,Kay St Rawtenstall
21-Jan-2026,KSB C,KSB E,Kay St Rawtenstall
27-Jan-2026,KSB E,KSB D,Kay St Rawtenstall
